54,265,0.000377,0.000065,-0.000442,0.000314,-0.000073,-0.000240,269.247589,-138.877502,-130.406158,-0.000035,-0.000015,-0.000015
55,270,0.000377,0.000064,-0.000441,0.000312,-0.000070,-0.000241,268.370880,-141.483612,-126.923546,-0.000036,-0.000015,-0.000015
56,275,0.000389,0.000047,-0.000436,0.000393,-0.000178,-0.000215,267.909393,-144.641907,-123.303947,-0.000037,-0.000015,-0.000015
57,280,0.000399,0.000032,-0.000431,0.000451,-0.000261,-0.000190,268.240967,-148.880508,-119.397102,-0.000038,-0.000016,-0.000016
58,285,0.000393,0.000038,-0.000430,0.000410,-0.000217,-0.000193,268.654358,-153.318756,-115.372452,-0.000039,-0.000016,-0.000016
59,290,0.000379,0.000054,-0.000433,0.000315,-0.000098,-0.000216,268.246338,-156.770508,-111.512901,-0.000039,-0.000016,-0.000016
60,295,0.000374,0.000059,-0.000433,0.000278,-0.000052,-0.000227,267.083466,-159.264603,-107.856094,-0.000040,-0.000017,-0.000017
61,300,0.000384,0.000045,-0.000429,0.000343,-0.000136,-0.000207,266.060547,-161.943298,-104.154648,-0.000041,-0.000017,-0.000017
62,305,0.000396,0.000027,-0.000423,0.000421,-0.000244,-0.000178,265.823090,-165.674561,-100.186142,-0.000042,-0.000017,-0.000017
63,310,0.000395,0.000026,-0.000421,0.000411,-0.000240,-0.000171,265.976349,-169.990356,-96.023796,-0.000043,-0.000018,-0.000018
64,315,0.000382,0.000041,-0.000423,0.000321,-0.000129,-0.000192,265.527710,-173.610657,-91.955048,-0.000044,-0.000018,-0.000018
65,320,0.000373,0.000051,-0.000424,0.000257,-0.000047,-0.000210,264.169037,-176.085648,-88.121597,-0.000044,-0.000018,-0.000018
66,325,0.000379,0.000042,-0.000421,0.000294,-0.000095,-0.000199,262.652496,-178.350800,-84.340050,-0.000045,-0.000018,-0.000018
67,330,0.000392,0.000024,-0.000415,0.000382,-0.000213,-0.000169,261.819397,-181.518204,-80.339745,-0.000046,-0.000019,-0.000019
68,335,0.000396,0.000016,-0.000412,0.000404,-0.000251,-0.000154,261.601196,-185.544846,-76.095047,-0.000047,-0.000019,-0.000019
69,340,0.000385,0.000027,-0.000412,0.000330,-0.000162,-0.000168,261.083710,-189.265152,-71.857399,-0.000047,-0.000019,-0.000019
70,345,0.000373,0.000042,-0.000414,0.000246,-0.000055,-0.000191,259.623505,-191.812103,-67.850502,-0.000048,-0.000020,-0.000020
71,350,0.000374,0.000039,-0.000413,0.000251,-0.000060,-0.000190,257.695251,-193.748611,-63.985901,-0.000049,-0.000020,-0.000020
72,355,0.000387,0.000021,-0.000407,0.000335,-0.000172,-0.000163,256.269897,-196.333145,-59.976101,-0.000049,-0.000020,-0.000020
